inchikey,source_group,source_file,source_sha256,stored_target_kcal,formula_absolute_error_kcal
FEIMWSWOARPCHQ-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,276.34517903518963,0.0002134859178681836
FLWIKJQQWOQWRC-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,258.26713376555864,0.00019983034729875726
GFQVFGWAZBUWPJ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,275.9868,0.00021720302987660034
GXGYDOXFZOXCPP-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,242.3686,0.000192969738947113
HFQMBFOQLKGXEV-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,248.10609531494683,0.0
HGNVWYHQJBRWIG-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,261.3972,0.0002475915415516283
HVVRUQBMAZRKPJ-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,266.04535211215523,0.0
IJOSCJHCRGUZPR-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,244.22948987013393,0.00018922676517263426
IPMZWBRHUWBMSP-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,247.05632935246595,0.0
IRCJCNRXJWPRQT-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,275.7909257129945,0.0
IRQWYWISPUGHHU-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,254.2882,0.00017674026787517505
IYLKZOOSIORTQE-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,261.9566,0.00022216869132307693
JAHSSJUHRBIEPX-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,268.3156,0.0002184697895586396
JRPJVVPVLPZVIH-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,244.7908,0.0002009160861859982
JYIHYPCEOIXCIG-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,249.7751,0.0001752488052204626
KDNXGTHUHICKOJ-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,272.38098631777075,0.0
KNJZNOWNRASAAD-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,259.2486,0.00015346579061770171
KQGKQLUVALPKDG-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,265.595,0.0002090718095359989
KZYKDQNIIMATMJ-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,269.28806049215683,0.0
LARJHTUDBSSHOM-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,261.1056,0.0002453497079955014
LEUHWGGEZSWINW-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,271.0972,0.00023427122908969977
LXRSNUBVOFURAK-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,257.8548,0.00016958089150875821
NRDGSSITTSWVJY-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,243.541,0.00017561762922468915
OOGXHYSEXNJMLD-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,252.1972702889898,0.0
OWDJBEAIUGONGX-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,243.956,0.00020377791082637486
PDIYCCLDBKWBTK-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,270.8961196976881,0.0
PKQGMOQCRAMPKT-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,269.25212515766117,0.0
PMACGGXUCJDLRD-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,260.3946,0.00017795592555103212
PMPUSEWFQVHUNO-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,270.549277517189,0.0
PPIZPHDLGCIGBX-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,270.3150067182059,0.00020893092079177222
PUDUFYOWZAQFJU-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,271.6540030448454,0.0
PVZUKIQBEJVNGG-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,257.521,0.00019811988852325157
QDRLUWCYERTLDX-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,233.41908951155594,0.00018106093841652182
QKVFBKBRRCMFDQ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,259.1335,0.00015958791539105732
QKWIYJPFUOXAMV-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,248.9643,0.00024244267643780404
QWOYKHLCXRMCLO-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,276.5918315728298,0.00021367223126844692
RATKDJDMBGPDPZ-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,230.4289334296721,0.0
RBKFFSUUCLDQER-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,264.089346256782,0.0
RMEQTBVGGNKAEQ-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,276.88164479435915,0.0
RZSWWUPPXFHUMP-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,256.5999,0.00021872884656204405
SMSKFNFTQZFBLB-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,262.14231228328305,0.0
SRTMFNCJZXPHHW-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,276.2178494237782,0.0002133897372118554
UEGYAKGLWSNMLV-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,263.46401118656854,0.0
UVWIHFMAEQJUPG-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,275.12737164018966,0.0
VGZNCRZCLZMYFG-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,252.4031538945081,0.0001954008865823198
VLFUROUWDFYYOP-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,280.4286,0.0002424258522069067
VNYHGZAUUQMMDL-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,256.1794572290758,0.0
VPAFDQIFHJWCBK-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,279.3780823433203,0.0
WZMYTBMHOGSGPJ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,262.6526,0.00018315721194994694
XGRYENLJQVHGDN-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,246.4425,0.00022153850457584667
XOCPCUGJJWTATJ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,273.0018,0.0001853357413779122
YJXHKPBDOSWVTC-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,258.13263728934993,0.00019972875298890358
YPDLOEXNZVLTHH-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,263.4703,0.0002074178299835694
YUCHAYWRZACOHI-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,264.3853,0.00020689442538923686
ZMKSVFXZNGTFHF-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,277.1779,0.0001772527344314767
ZMVNOEVSLYEOOM-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,261.83980657835656,0.0
ZRKGAZHRJTVZGW-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,250.91717464928487,0.0
